Time (s),Speed (km/h),Acceleration (m/s2),Partial distance (m)/ Speed(m/s),Total distance (m)
406,18.7,-0.41666666666666663,5.194444444444444,2687.7222222222226
407,17.0,-0.472222222222222,4.722222222222222,2692.444444444445
408,15.3,-0.472222222222222,4.25,2696.694444444445
409,14.2,-0.30555555555555597,3.944444444444444,2700.638888888889
410,13.9,-0.08333333333333304,3.861111111111111,2704.5000000000005
411,14.0,0.02777777777777768,3.888888888888889,2708.388888888889
412,14.2,0.05555555555555536,3.944444444444444,2712.3333333333335
413,14.5,0.08333333333333352,4.027777777777778,2716.3611111111113
414,14.9,0.1111111111111112,4.138888888888889,2720.5
415,15.9,0.2777777777777778,4.416666666666667,2724.9166666666665
416,17.4,0.4166666666666662,4.833333333333333,2729.75
417,18.7,0.3611111111111113,5.194444444444444,2734.9444444444443
418,19.1,0.1111111111111117,5.305555555555556,2740.25
419,18.8,-0.08333333333333352,5.222222222222222,2745.472222222222
420,17.6,-0.33333333333333315,4.888888888888889,2750.361111111111
421,16.6,-0.2777777777777778,4.611111111111112,2754.972222222222
422,16.2,-0.1111111111111117,4.5,2759.472222222222
423,16.4,0.05555555555555536,4.555555555555555,2764.027777777778
424,17.2,0.2222222222222224,4.777777777777778,2768.8055555555557
425,19.1,0.5277777777777783,5.305555555555556,2774.1111111111113
426,22.6,0.9722222222222222,6.277777777777778,2780.388888888889
427,27.4,1.3333333333333326,7.611111111111111,2788.0000000000005
428,31.6,1.1666666666666674,8.777777777777779,2796.7777777777783
429,33.4,0.4999999999999992,9.277777777777777,2806.055555555556
430,33.5,0.027777777777778172,9.305555555555555,2815.3611111111118
431,32.8,-0.19444444444444522,9.11111111111111,2824.472222222223
432,31.9,-0.2499999999999996,8.86111111111111,2833.3333333333344
433,31.3,-0.16666666666666607,8.694444444444445,2842.0277777777787
434,31.1,-0.05555555555555536,8.63888888888889,2850.6666666666674
435,30.6,-0.1388888888888889,8.5,2859.1666666666674
436,29.2,-0.38888888888888945,8.11111111111111,2867.2777777777787
437,26.7,-0.6944444444444444,7.416666666666666,2874.6944444444453
438,23.0,-1.0277777777777775,6.388888888888888,2881.083333333334
439,18.2,-1.3333333333333335,5.055555555555555,2886.1388888888896
440,12.9,-1.4722222222222219,3.5833333333333335,2889.722222222223
441,7.7,-1.4444444444444444,2.138888888888889,2891.8611111111118
442,3.8,-1.0833333333333335,1.0555555555555556,2892.9166666666674
443,1.3,-0.6944444444444444,0.3611111111111111,2893.2777777777787
444,0.2,-0.3055555555555556,0.05555555555555556,2893.3333333333344
445,0.0,-0.05555555555555556,0.0,2893.3333333333344
446,0.0,0.0,0.0,2893.3333333333344
447,0.0,0.0,0.0,2893.3333333333344
448,0.0,0.0,0.0,2893.3333333333344
449,0.0,0.0,0.0,2893.3333333333344
450,0.0,0.0,0.0,2893.3333333333344
451,0.0,0.0,0.0,2893.3333333333344
452,0.0,0.0,0.0,2893.3333333333344
453,0.0,0.0,0.0,2893.3333333333344
454,0.0,0.0,0.0,2893.3333333333344
455,0.0,0.0,0.0,2893.3333333333344
456,0.0,0.0,0.0,2893.3333333333344
457,0.0,0.0,0.0,2893.3333333333344
458,0.0,0.0,0.0,2893.3333333333344
459,0.0,0.0,0.0,2893.3333333333344
